pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1120004","2017","Arsenic","Montevideo","Chippewa","Montevideo","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","5337","27023"
"1120006","2017","Arsenic","Watson","Chippewa","Watson","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","205","27023"
"1130001","2017","Arsenic","Center City","Chisago","Center City","Groundwater","1.54 ug/L","1.54 ug/L","629","27025"
"1130002","2017","Arsenic","Hazelden Foundation","Chisago","Center City","Groundwater","1.14 ug/L","1.14 ug/L","450","27025"
"1130003","2017","Arsenic","Chisago City","Chisago","Chisago City","Groundwater","0.5 ug/L","0.5 ug/L","3981","27025"
"1130023","2017","Arsenic","Preserve at Birch Lake","Chisago","Chisago City","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","120","27025"
"1130005","2017","Arsenic","Harris","Chisago","Harris","Groundwater","1.52 ug/L","1.52 ug/L","378","27025"
"1130006","2017","Arsenic","Peaceful Valley Mobile Home Park","Chisago","Harris","Groundwater","2.4 ug/L","2.4 ug/L","50","27025"
"1130007","2017","Arsenic","Lindstrom","Chisago","Lindstrom","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","4458","27025"
"1130008","2017","Arsenic","Stonegate Co-op, Inc.","Chisago","Lindstrom","Groundwater","5.15 ug/L","5.15 ug/L","128","27025"
"1130009","2017","Arsenic","Elms Estates, Inc.","Chisago","Lindstrom","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","53","27025"
"1130010","2017","Arsenic","Blue Waters Mobile Home Park","Chisago","Lindstrom","Groundwater","1.26 ug/L","1.26 ug/L","150","27025"
"1130011","2017","Arsenic","North Branch","Chisago","North Branch","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","7148","27025"
"1130013","2017","Arsenic","Rush City","Chisago","Rush City","Groundwater","1.16 ug/L","1.16 ug/L","3079","27025"
"1130021","2017","Arsenic","Shorewood Park","Chisago","Rush City","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","80","27025"
"1130014","2017","Arsenic","Shafer","Chisago","Shafer","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1047","27025"
"1130016","2017","Arsenic","Stacy","Chisago","Stacy","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1426","27025"
"1130017","2017","Arsenic","Taylors Falls","Chisago","Taylors Falls","Groundwater","2.32 ug/L","2.32 ug/L","967","27025"
"1130018","2017","Arsenic","Wyoming","Chisago","Wyoming","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","3850","27025"
